# impl_a independent odd-order exact enumerator n=17 tau=29
# columns	canonical	oriented	S	r	c	d	d_unused	a	a_unused	sign	pair_orbits	orbit_sha256	A_per_orbit	A_checked	A_tree_nodes	prefilter_survivors	exact_calls	completion_nodes	verdict	witness_R	witness_C	witness_D	witness_A	seconds
5,7,6,12	6,12,7,5	30	6	12	7	0	5	0	0	16660	c221a0228eb60554db03bf29bd8eff553793528ba2f5711042bff4b62f03d1af	6188	103092080	26930	1488	1488	0	UNSAT					0.050265
5,7,7,7	5,7,7,7	26	5	7	7	0	7	0	1	14700	40b4ff7910e43402b1aa93976605bae6d91f1d4c014b315f90b622c4aa5733eb	19448	285885600	35	1	1	0	UNSAT					0.044684
5,7,7,8	5,7,8,7	27	5	7	8	0	7	0	0	26124	b4dd4eadcce0d7649b7b8f98953960a67fd7a3216ef870b2c03120f3f40ac2b3	19448	508059552	35	1	1	0	UNSAT					0.083552
5,7,7,9	5,7,9,7	28	5	7	9	0	7	0	0	26124	b4dd4eadcce0d7649b7b8f98953960a67fd7a3216ef870b2c03120f3f40ac2b3	19448	508059552	35	1	1	0	UNSAT					0.086838
5,7,7,10	5,7,7,10	29	5	7	7	0	10	0	0	26124	b4dd4eadcce0d7649b7b8f98953960a67fd7a3216ef870b2c03120f3f40ac2b3	19448	508059552	318988	20890	20890	0	UNSAT					0.096606
5,7,7,11	5,7,7,11	30	5	7	7	0	11	0	0	26124	b4dd4eadcce0d7649b7b8f98953960a67fd7a3216ef870b2c03120f3f40ac2b3	12376	323310624	4182347	308480	308480	3	UNSAT					0.394291
5,7,7,12	5,7,7,12	31	5	7	7	0	12	0	0	26124	b4dd4eadcce0d7649b7b8f98953960a67fd7a3216ef870b2c03120f3f40ac2b3	6188	161655312	31038104	2837018	2837018	0	UNSAT					2.927077
5,7,8,8	5,7,8,8	28	5	7	8	0	8	0	1	14700	40b4ff7910e43402b1aa93976605bae6d91f1d4c014b315f90b622c4aa5733eb	24310	357357000	1347	56	56	0	UNSAT					0.051019
5,7,8,9	5,7,8,9	29	5	7	8	0	9	0	0	26124	b4dd4eadcce0d7649b7b8f98953960a67fd7a3216ef870b2c03120f3f40ac2b3	24310	635074440	25102	1349	1349	7	UNSAT					0.087443
5,7,8,10	5,7,8,10	30	5	7	8	0	10	0	0	26124	b4dd4eadcce0d7649b7b8f98953960a67fd7a3216ef870b2c03120f3f40ac2b3	19448	508059552	318988	20890	20890	50	UNSAT					0.113319
5,7,8,11	5,7,8,11	31	5	7	8	0	11	0	0	26124	b4dd4eadcce0d7649b7b8f98953960a67fd7a3216ef870b2c03120f3f40ac2b3	12376	323310624	4182347	308480	308480	78	UNSAT					0.392323
5,7,8,12	5,7,8,12	32	5	7	8	0	12	0	0	26124	b4dd4eadcce0d7649b7b8f98953960a67fd7a3216ef870b2c03120f3f40ac2b3	6188	161655312	31038104	2837018	2837018	0	UNSAT					2.917411
5,7,9,9	5,7,9,9	30	5	7	9	0	9	0	1	14700	40b4ff7910e43402b1aa93976605bae6d91f1d4c014b315f90b622c4aa5733eb	24310	357357000	19945	1125	1125	168	UNSAT					0.044748
5,7,9,10	5,7,9,10	31	5	7	9	0	10	0	0	26124	b4dd4eadcce0d7649b7b8f98953960a67fd7a3216ef870b2c03120f3f40ac2b3	19448	508059552	318988	20890	20890	544	UNSAT					0.110398
5,7,9,11	5,7,9,11	32	5	7	9	0	11	0	0	26124	b4dd4eadcce0d7649b7b8f98953960a67fd7a3216ef870b2c03120f3f40ac2b3	12376	323310624	4182347	308480	308480	122	UNSAT					0.388323
5,7,9,12	5,7,9,12	33	5	7	9	0	12	0	0	26124	b4dd4eadcce0d7649b7b8f98953960a67fd7a3216ef870b2c03120f3f40ac2b3	6188	161655312	31038104	2837018	2837018	0	UNSAT					2.950886
5,7,10,10	5,7,10,10	32	5	7	10	0	10	0	1	14700	40b4ff7910e43402b1aa93976605bae6d91f1d4c014b315f90b622c4aa5733eb	19448	285885600	222641	15334	15334	691	UNSAT					0.064209
5,7,10,11	5,7,10,11	33	5	7	10	0	11	0	0	26124	b4dd4eadcce0d7649b7b8f98953960a67fd7a3216ef870b2c03120f3f40ac2b3	12376	323310624	4182347	308480	308480	123	UNSAT					0.388845
5,7,10,12	5,7,10,12	34	5	7	10	0	12	0	0	26124	b4dd4eadcce0d7649b7b8f98953960a67fd7a3216ef870b2c03120f3f40ac2b3	6188	161655312	31038104	2837018	2837018	0	UNSAT					2.961564
5,7,11,11	6,6,10,12	34	6	6	10	0	12	0	0	16709	c182274ba7fe99b027b1c8ea916f5051babd877714befee54afb1233c9edaca8	6188	103395292	46713812	4892803	4892803	0	UNSAT					4.985220
5,8,6,6	6,6,8,5	25	6	6	8	0	5	0	0	16709	c182274ba7fe99b027b1c8ea916f5051babd877714befee54afb1233c9edaca8	6188	103395292	0	0	0	0	UNSAT					0.051537
5,8,6,7	6,7,8,5	26	6	7	8	0	5	0	0	52248	92aaa45aaed584f5730f34bb1ac3a1ebc47d3e64c12a2ac0853d9ef471a85ee9	6188	323310624	0	0	0	0	UNSAT					0.154333
5,8,6,8	5,8,8,6	27	5	8	8	0	6	0	0	32658	805ec1296a28d99640dc86b7da5ec90cf0477cdc75f7e0ca093a120163ec5749	12376	404175408	0	0	0	0	UNSAT					0.094827
5,8,6,9	5,8,9,6	28	5	8	9	0	6	0	0	32658	805ec1296a28d99640dc86b7da5ec90cf0477cdc75f7e0ca093a120163ec5749	12376	404175408	0	0	0	0	UNSAT					0.106070
5,8,6,10	6,10,8,5	29	6	10	8	0	5	0	0	52248	d3d042f131808ac7e213543d0e368bf1d6ca7bd775e0016bf2e6aee3ef2fcc9a	6188	323310624	664	27	27	0	UNSAT					0.186423
5,8,6,11	6,11,8,5	30	6	11	8	0	5	0	0	33320	4040d378887e89b41e6a72928fa5de2ba1e46909662d9ab373d4dd11f8f21c96	6188	206184160	5285	246	246	0	UNSAT					0.112019
5,8,6,12	6,12,8,5	31	6	12	8	0	5	0	0	16660	c221a0228eb60554db03bf29bd8eff553793528ba2f5711042bff4b62f03d1af	6188	103092080	26930	1488	1488	0	UNSAT					0.056425
5,8,7,7	7,7,8,5	27	7	7	8	0	5	0	0	41071	3eec5a8e0d761fff2f3cb9bc7d0561649af602788a808ec7f1644252b3f1e51f	6188	254147348	35	1	1	0	UNSAT					0.125184
5,8,7,8	5,8,8,7	28	5	8	8	0	7	0	0	32658	805ec1296a28d99640dc86b7da5ec90cf0477cdc75f7e0ca093a120163ec5749	19448	635132784	1487	57	57	0	UNSAT					0.107842
5,8,7,9	5,8,9,7	29	5	8	9	0	7	0	0	32658	805ec1296a28d99640dc86b7da5ec90cf0477cdc75f7e0ca093a120163ec5749	19448	635132784	1487	57	57	0	UNSAT					0.100675
5,8,7,10	7,10,8,5	30	7	10	8	0	5	0	0	81992	6ba7a6bc91109216d876be899f248349102d1d28287fb4a89223118cb18566ae	6188	507366496	350680	20637	20637	20	UNSAT					0.292413
5,8,7,11	7,11,8,5	31	7	11	8	0	5	0	0	52248	750880e5cafa59c3c26d0b46a75a98ca95a8985a448df3a7dbc5b4443f1c9bd9	6188	323310624	4569326	308651	308651	78	UNSAT					0.477169
5,8,7,12	7,12,8,5	32	7	12	8	0	5	0	0	26124	b2b714a43e39ed720463ac2bcfb7f2d2748f225c519321c273c28d1891a7ec25	6188	161655312	32577020	2837018	2837018	0	UNSAT					2.846749
5,8,8,8	5,8,8,8	29	5	8	8	0	8	0	1	18378	9a49bd4f362ac965fc91762f3592e3ff52419c40d9d60b9993169c50337976f0	24310	446769180	50918	2790	2790	0	UNSAT					0.062039
5,8,8,9	5,8,8,9	30	5	8	8	0	9	0	0	32658	805ec1296a28d99640dc86b7da5ec90cf0477cdc75f7e0ca093a120163ec5749	24310	793915980	1986334	134612	134612	60	UNSAT					0.256178
5,8,8,10	5,8,8,10	31	5	8	8	0	10	0	0	32658	805ec1296a28d99640dc86b7da5ec90cf0477cdc75f7e0ca093a120163ec5749	19448	635132784	43388356	3863290	3863290	237	UNSAT					3.984957
5,8,8,11	5,8,8,11	32	5	8	8	0	11	0	0	32658	805ec1296a28d99640dc86b7da5ec90cf0477cdc75f7e0ca093a120163ec5749	12376	404175408	303705022	36048057	36048057	21	UNSAT					35.532994
5,8,8,12	5,8,8,12	33	5	8	8	0	12	0	0	32658	805ec1296a28d99640dc86b7da5ec90cf0477cdc75f7e0ca093a120163ec5749	6188	202087704	623776884	81999256	81999256	0	UNSAT					82.342531
5,8,9,9	5,8,9,9	31	5	8	9	0	9	0	1	18378	9a49bd4f362ac965fc91762f3592e3ff52419c40d9d60b9993169c50337976f0	24310	446769180	1280681	88551	88551	973	UNSAT					0.148076
5,8,9,10	5,8,9,10	32	5	8	9	0	10	0	0	32658	805ec1296a28d99640dc86b7da5ec90cf0477cdc75f7e0ca093a120163ec5749	19448	635132784	43388356	3863290	3863290	1360	UNSAT					3.878737
5,8,9,11	5,8,9,11	33	5	8	9	0	11	0	0	32658	805ec1296a28d99640dc86b7da5ec90cf0477cdc75f7e0ca093a120163ec5749	12376	404175408	303705022	36048057	36048057	144	UNSAT					35.916156
