canonical	oriented	S	r	c	d0	d1	a0	a1	sign	pair_orbits	A_per_orbit	A_checked	triple_pass	dfs_calls	dfs_nodes	result	seconds
7,7,0,6,1,4	7,7,1,4,0,6	25	7	7	1	4	0	6	0	32666	28	914648	0	0	0	UNSAT	0.012044
7,7,0,6,1,4	7,7,4,1,6,0	25	7	7	4	1	6	0	0	32666	28	914648	7	0	0	UNSAT	0.012241
7,7,0,6,2,3	7,7,2,3,0,6	25	7	7	2	3	0	6	0	32666	28	914648	0	0	0	UNSAT	0.012138
7,7,0,6,2,3	7,7,3,2,6,0	25	7	7	3	2	6	0	0	32666	28	914648	7	0	0	UNSAT	0.011732
7,7,1,4,1,5	7,7,1,4,1,5	25	7	7	1	4	1	5	0	32666	448	14634368	0	0	0	UNSAT	0.099315
7,7,1,4,1,5	7,7,4,1,5,1	25	7	7	4	1	5	1	0	32666	448	14634368	0	0	0	UNSAT	0.085469
7,7,1,4,2,4	7,7,2,4,1,4	25	7	7	2	4	1	4	0	32666	560	18292960	0	0	0	UNSAT	0.116572
7,7,1,4,2,4	7,7,4,2,4,1	25	7	7	4	2	4	1	0	32666	560	18292960	0	0	0	UNSAT	0.140958
7,7,1,5,2,3	7,7,2,3,1,5	25	7	7	2	3	1	5	0	32666	448	14634368	0	0	0	UNSAT	0.118384
7,7,1,5,2,3	7,7,3,2,5,1	25	7	7	3	2	5	1	0	32666	448	14634368	0	0	0	UNSAT	0.107541
7,8,0,5,0,5	7,8,0,5,0,5	25	7	8	0	5	0	5	1	42103	56	2357768	0	0	0	UNSAT	0.020757
7,8,0,5,0,5	7,8,5,0,5,0	25	7	8	5	0	5	0	1	42103	56	2357768	0	0	0	UNSAT	0.018562
7,8,0,5,1,4	7,8,1,4,0,5	25	7	8	1	4	0	5	0	73663	56	4125128	0	0	0	UNSAT	0.050820
7,8,0,5,1,4	7,8,4,1,5,0	25	7	8	4	1	5	0	0	73663	56	4125128	0	0	0	UNSAT	0.030966
7,8,1,4,1,4	7,8,1,4,1,4	25	7	8	1	4	1	4	1	42103	560	23577680	0	0	0	UNSAT	0.151091
7,8,1,4,1,4	7,8,4,1,4,1	25	7	8	4	1	4	1	1	42103	560	23577680	0	0	0	UNSAT	0.135862
5,7,0,7,0,7	5,7,0,7,0,7	26	5	7	0	7	0	7	1	14225	8	113800	0	0	0	UNSAT	0.003816
5,7,0,7,0,7	5,7,7,0,7,0	26	5	7	7	0	7	0	1	14225	8	113800	0	0	0	UNSAT	0.003842
5,7,0,7,1,6	5,7,1,6,0,7	26	5	7	1	6	0	7	0	24985	8	199880	0	0	0	UNSAT	0.006591
5,7,0,7,1,6	5,7,6,1,7,0	26	5	7	6	1	7	0	0	24985	8	199880	0	0	0	UNSAT	0.006032
5,7,0,7,2,5	5,7,2,5,0,7	26	5	7	2	5	0	7	0	24985	8	199880	0	0	0	UNSAT	0.005986
5,7,0,7,2,5	5,7,5,2,7,0	26	5	7	5	2	7	0	0	24985	8	199880	0	0	0	UNSAT	0.005973
5,7,0,7,3,4	5,7,3,4,0,7	26	5	7	3	4	0	7	0	24985	8	199880	0	0	0	UNSAT	0.028256
5,7,0,7,3,4	5,7,4,3,7,0	26	5	7	4	3	7	0	0	24985	8	199880	0	0	0	UNSAT	0.006095
5,7,1,6,1,6	5,7,1,6,1,6	26	5	7	1	6	1	6	1	14225	224	3186400	0	0	0	UNSAT	0.018724
5,7,1,6,1,6	5,7,6,1,6,1	26	5	7	6	1	6	1	1	14225	224	3186400	0	0	0	UNSAT	0.022872
5,7,1,6,2,5	5,7,2,5,1,6	26	5	7	2	5	1	6	0	24985	224	5596640	0	0	0	UNSAT	0.052058
5,7,1,6,2,5	5,7,5,2,6,1	26	5	7	5	2	6	1	0	24985	224	5596640	0	0	0	UNSAT	0.029775
5,7,1,6,3,4	5,7,3,4,1,6	26	5	7	3	4	1	6	0	24985	224	5596640	0	0	0	UNSAT	0.031784
5,7,1,6,3,4	5,7,4,3,6,1	26	5	7	4	3	6	1	0	24985	224	5596640	0	0	0	UNSAT	0.046881
5,7,2,5,2,5	5,7,2,5,2,5	26	5	7	2	5	2	5	1	14225	1568	22304800	0	0	0	UNSAT	0.122331
5,7,2,5,2,5	5,7,5,2,5,2	26	5	7	5	2	5	2	1	14225	1568	22304800	0	0	0	UNSAT	0.137851
5,7,2,5,3,4	5,7,3,4,2,5	26	5	7	3	4	2	5	0	24985	1568	39176480	0	0	0	UNSAT	0.230934
5,7,2,5,3,4	5,7,4,3,5,2	26	5	7	4	3	5	2	0	24985	1568	39176480	0	0	0	UNSAT	0.230078
5,7,3,4,3,4	5,7,3,4,3,4	26	5	7	3	4	3	4	1	14225	3920	55762000	0	0	0	UNSAT	0.302682
